time,sentiment_score,Tweet Volume,Weighted Sentiment,Volume EOS,open EOS
4/9/2019 15:00,-0.143242086,6299,-902.2818997,9323.4,5.602
4/9/2019 18:00,-0.131078089,4929,-646.0839007,19485.7,5.638
4/9/2019 21:00,-0.10676509,4050,-432.3986145,18545.5,5.59
4/10/2019 0:00,-0.085935393,3535,-303.7816143,69330.7,5.692
4/10/2019 3:00,-0.145444581,3220,-468.3315508,43158.5,5.802666667
4/10/2019 6:00,-0.08385086,4274,-358.3785756,23120.5,5.849333333
4/10/2019 9:00,-0.107755087,4115,-443.412183,6165.3,5.86
4/10/2019 12:00,-0.167580085,5367,-899.4023162,29160.4,5.927333333
4/10/2019 15:00,-0.155364216,5500,-854.503188,23986,5.934666667
4/10/2019 18:00,-0.093027692,6321,-588.0280411,63336.5,5.888666667
4/10/2019 21:00,-0.132240245,4365,-577.2286694,35641.4,5.767333333
4/11/2019 0:00,-0.139387412,3843,-535.6658243,24187.5,5.798
4/11/2019 3:00,-0.098109181,3368,-330.4317216,37749.6,5.647333333
4/11/2019 6:00,-0.163236131,3915,-639.0694529,3156.5,5.622
4/11/2019 9:00,-0.155402647,4750,-738.1625733,35885.6,5.520333333
4/11/2019 12:00,-0.157749777,5556,-876.457761,7711.4,5.295333333
4/11/2019 15:00,-0.167795743,5668,-951.0662713,20115.7,5.255
4/11/2019 18:00,-0.150033607,4603,-690.604693,12685.1,5.271666667
4/11/2019 21:00,-0.141775137,3885,-550.7964072,15483.5,5.254333333
4/12/2019 0:00,-0.141399763,3517,-497.3029665,16165.5,5.238333333
4/12/2019 3:00,-0.163443655,3096,-506.0215559,7205.1,5.284333333
4/12/2019 6:00,-0.193289218,4198,-811.4281372,7547.2,5.311
4/12/2019 9:00,-0.176384287,4123,-727.2324153,3801.8,5.341
4/12/2019 12:00,-0.16236197,5470,-888.1199759,11533.2,5.406666667
4/12/2019 15:00,-0.178165983,5388,-959.9583164,16895.8,5.374
4/12/2019 18:00,-0.196884687,4770,-939.139957,9579.9,5.342666667
4/12/2019 21:00,-0.175656692,3700,-649.9297604,7296.9,5.368666667
4/13/2019 0:00,-0.135364399,3144,-425.5856705,6014.4,5.373
4/13/2019 3:00,-0.170391059,2782,-474.0279261,14881.9,5.403333333
4/13/2019 6:00,-0.18353354,3200,-587.307328,1952.3,5.386333333
4/13/2019 9:00,-0.170974073,3189,-545.2363188,5279.3,5.331333333
4/13/2019 12:00,-0.121403945,3980,-483.1877011,8192.6,5.289
4/13/2019 15:00,-0.177641577,4053,-719.9813116,3598.4,5.33
4/13/2019 18:00,-0.097253656,3731,-362.8533905,1731.5,5.308666667
4/13/2019 21:00,-0.143739969,3204,-460.5428607,3735.3,5.304666667
4/14/2019 0:00,-0.139900766,2905,-406.4117252,9583.6,5.326333333
4/14/2019 3:00,-0.161685619,2385,-385.6202013,2038.9,5.286666667
4/14/2019 6:00,-0.166400171,2878,-478.8996921,4519.7,5.278
4/14/2019 9:00,-0.174858803,3045,-532.4450551,2725,5.323666667
4/14/2019 12:00,-0.134206217,3902,-523.6726587,627.1,5.322666667
4/14/2019 15:00,-0.1470252,4534,-666.6122568,9494.1,5.322
4/14/2019 18:00,-0.119329384,4067,-485.3126047,909.1,5.3285
4/14/2019 21:00,-0.116727588,3758,-438.6622757,23911.8,5.415
4/15/2019 0:00,-0.134444372,2964,-398.4931186,19467.7,5.575666667
4/15/2019 3:00,-0.163085714,3066,-500.0207991,7569.5,5.566333333
4/15/2019 6:00,-0.151050183,3981,-601.3307785,3950.8,5.560333333
4/15/2019 9:00,-0.140726764,4275,-601.6069161,3852.2,5.501666667
4/15/2019 12:00,-0.137623815,5520,-759.6834588,9324.3,5.441666667
4/15/2019 15:00,-0.137577794,6634,-912.6910854,20200.3,5.478
4/15/2019 18:00,-0.179077157,5673,-1015.904712,5098.9,5.299
4/15/2019 21:00,-0.181608574,4575,-830.8592261,2293.3,5.325333333
4/16/2019 0:00,-0.175181898,3634,-636.6110173,3114.7,5.341666667
4/16/2019 3:00,-0.16882167,3268,-551.7092176,2429.9,5.357666667
4/16/2019 6:00,-0.183241095,4422,-810.2921221,2883.8,5.367
4/16/2019 9:00,-0.151552798,4537,-687.5950445,1249.9,5.392666667
4/16/2019 12:00,-0.141670159,5475,-775.6441205,5141.7,5.359
