time,sentiment_score,Tweet Volume,Weighted Sentiment,Volume ETH,open ETH
1/1/2019 0:00,-0.051088482,961,-49.0960312,17969.67273,131.0133333
1/1/2019 3:00,-0.076208882,2360,-179.8529615,28018.71062,130.9766667
1/1/2019 6:00,-0.104298054,2712,-282.8563224,11374.44975,132.9733333
1/1/2019 9:00,-0.072183213,2863,-206.6605388,3761.493212,134.0233333
1/1/2019 12:00,-0.097971815,3181,-311.6483435,10207.20089,134.2833333
1/1/2019 15:00,-0.103123195,3390,-349.5876311,12276.49424,133.3866667
1/1/2019 18:00,-0.101788907,3683,-374.8885445,42904.52081,133.8133333
1/1/2019 21:00,-0.11155192,3262,-363.882363,31139.86783,138.0033333
1/2/2019 0:00,-0.079667635,3173,-252.7854059,14210.69942,139.4866667
1/2/2019 3:00,-0.169698832,2598,-440.8775655,11886.39625,139.6666667
1/2/2019 6:00,-0.11005235,3473,-382.2118116,40952.74469,141.4266667
1/2/2019 9:00,-0.100786254,4027,-405.8662449,20351.59063,146.57
1/2/2019 12:00,-0.089819029,4632,-416.0417423,37481.93846,149.8866667
1/2/2019 15:00,-0.11215449,5089,-570.7541996,41040.12866,150.16
1/2/2019 18:00,-0.156644181,4563,-714.7673979,22360.79819,150.56
1/2/2019 21:00,-0.098675115,4469,-440.9790889,50042.25474,154.0533333
1/3/2019 0:00,-0.115470299,3585,-413.9610219,34219.80607,152.23
1/3/2019 3:00,-0.103405755,3255,-336.5857325,18479.48029,152.5433333
1/3/2019 6:00,-0.048703682,3900,-189.9443598,19884.27987,152.7833333
1/3/2019 9:00,-0.010821655,4544,-49.17360032,20471.46481,149.1266667
1/3/2019 12:00,0.00082628,5430,4.4867004,22413.32367,148.9666667
1/3/2019 15:00,-0.025854959,6059,-156.6551966,37552.71931,147.4966667
1/3/2019 18:00,-0.125574838,5754,-722.5576179,27539.87262,145.8766667
1/3/2019 21:00,-0.075377171,4614,-347.790267,16561.63935,148.51
1/4/2019 0:00,-0.06182907,3683,-227.7164648,16800.39094,147.4833333
1/4/2019 3:00,-0.101361861,3243,-328.7165152,39200.04673,150.32
1/4/2019 6:00,-0.114637435,3495,-400.6578353,30893.9111,153.68
1/4/2019 9:00,-0.147439428,3623,-534.1730476,12544.73172,151.6933333
1/4/2019 12:00,-0.150586291,4368,-657.7609191,23719.1005,150.76
1/4/2019 15:00,-0.158566256,5291,-838.9740605,27490.2433,147.8766667
1/4/2019 18:00,-0.111569442,4629,-516.454947,29981.13271,148.5633333
1/4/2019 21:00,-0.110829809,4161,-461.1628352,39883.01368,153.1666667
1/5/2019 0:00,-0.105646701,3393,-358.4592565,69919.1964,157.36
1/5/2019 3:00,-0.163479473,2741,-448.0972355,19078.54293,158.7066667
1/5/2019 6:00,-0.162994985,2991,-487.5180001,28298.08199,156.59
1/5/2019 9:00,-0.095735041,3236,-309.7985927,11698.45586,155.57
1/5/2019 12:00,-0.10647014,3687,-392.5554062,12991.47186,156.78
1/5/2019 15:00,-0.104451482,4370,-456.4529763,28717.83788,156.0433333
1/5/2019 18:00,-0.12272899,3861,-473.8566304,17712.91999,156.9266667
