time,sentiment_score,Tweet Volume,Weighted Sentiment,Volume LTC,open LTC
1/1/2019 0:00,-0.051088482,961,-49.0960312,30157.74231,29.73
1/1/2019 3:00,-0.076208882,2360,-179.8529615,30230.27205,29.65
1/1/2019 6:00,-0.104298054,2712,-282.8563224,16377.67577,30.04
1/1/2019 9:00,-0.072183213,2863,-206.6605388,3847.552708,30.37666667
1/1/2019 12:00,-0.097971815,3181,-311.6483435,8238.07652,30.51666667
1/1/2019 15:00,-0.103123195,3390,-349.5876311,12262.75609,30.22666667
1/1/2019 18:00,-0.101788907,3683,-374.8885445,30657.62218,30.22666667
1/1/2019 21:00,-0.11155192,3262,-363.882363,32069.48422,31.23666667
1/2/2019 0:00,-0.079667635,3173,-252.7854059,12529.44316,31.62333333
1/2/2019 3:00,-0.169698832,2598,-440.8775655,11173.80501,31.55666667
1/2/2019 6:00,-0.11005235,3473,-382.2118116,12446.16547,31.55666667
1/2/2019 9:00,-0.100786254,4027,-405.8662449,11609.68506,32.05
1/2/2019 12:00,-0.089819029,4632,-416.0417423,18567.16948,32.33
1/2/2019 15:00,-0.11215449,5089,-570.7541996,26794.24027,32.32
1/2/2019 18:00,-0.156644181,4563,-714.7673979,15627.73084,32.59333333
1/2/2019 21:00,-0.098675115,4469,-440.9790889,40608.45403,33.04666667
1/3/2019 0:00,-0.115470299,3585,-413.9610219,20348.58112,32.81
1/3/2019 3:00,-0.103405755,3255,-336.5857325,13699.24988,32.73333333
1/3/2019 6:00,-0.048703682,3900,-189.9443598,6408.352722,32.6
1/3/2019 9:00,-0.010821655,4544,-49.17360032,11344.79933,32.19666667
1/3/2019 12:00,0.00082628,5430,4.4867004,12367.83884,31.9
1/3/2019 15:00,-0.025854959,6059,-156.6551966,29090.07186,31.59
1/3/2019 18:00,-0.125574838,5754,-722.5576179,13081.6352,31.20333333
1/3/2019 21:00,-0.075377171,4614,-347.790267,10045.53108,31.53333333
1/4/2019 0:00,-0.06182907,3683,-227.7164648,13663.77084,31.52666667
1/4/2019 3:00,-0.101361861,3243,-328.7165152,17896.19229,31.80666667
1/4/2019 6:00,-0.114637435,3495,-400.6578353,15286.9828,32.27666667
1/4/2019 9:00,-0.147439428,3623,-534.1730476,7229.116024,32.00333333
1/4/2019 12:00,-0.150586291,4368,-657.7609191,20228.45501,31.64333333
1/4/2019 15:00,-0.158566256,5291,-838.9740605,15975.542,31.39
1/4/2019 18:00,-0.111569442,4629,-516.454947,20659.73406,31.64333333
1/4/2019 21:00,-0.110829809,4161,-461.1628352,29581.07976,32.05
1/5/2019 0:00,-0.105646701,3393,-358.4592565,51503.93228,32.65
1/5/2019 3:00,-0.163479473,2741,-448.0972355,19968.49226,33.01333333
1/5/2019 6:00,-0.162994985,2991,-487.5180001,18709.06161,32.95666667
1/5/2019 9:00,-0.095735041,3236,-309.7985927,28987.78872,32.97333333
1/5/2019 12:00,-0.10647014,3687,-392.5554062,45093.69251,34.20666667
1/5/2019 15:00,-0.104451482,4370,-456.4529763,97204.26822,35.29666667
