time,sentiment_score,Tweet Volume,Weighted Sentiment,Volume BCH,open BCH
1/1/2019 0:00,-0.051088482,961,-49.0960312,7476.857591,149.6966667
1/1/2019 3:00,-0.076208882,2360,-179.8529615,12789.82893,156.73
1/1/2019 6:00,-0.104298054,2712,-282.8563224,4708.553914,159.7633333
1/1/2019 9:00,-0.072183213,2863,-206.6605388,1581.654629,159.9766667
1/1/2019 12:00,-0.097971815,3181,-311.6483435,2311.452602,159.0166667
1/1/2019 15:00,-0.103123195,3390,-349.5876311,2280.825194,156.9733333
1/1/2019 18:00,-0.101788907,3683,-374.8885445,6939.825561,157.1666667
1/1/2019 21:00,-0.11155192,3262,-363.882363,6423.581227,160.53
1/2/2019 0:00,-0.079667635,3173,-252.7854059,5288.556236,162.7233333
1/2/2019 3:00,-0.169698832,2598,-440.8775655,2274.998409,162.1833333
1/2/2019 6:00,-0.11005235,3473,-382.2118116,2577.0768,160.8933333
1/2/2019 9:00,-0.100786254,4027,-405.8662449,2629.191928,162.2766667
1/2/2019 12:00,-0.089819029,4632,-416.0417423,6152.124473,164.0133333
1/2/2019 15:00,-0.11215449,5089,-570.7541996,9375.68496,163.6333333
1/2/2019 18:00,-0.156644181,4563,-714.7673979,4145.414268,164.16
1/2/2019 21:00,-0.098675115,4469,-440.9790889,13933.34218,166.14
1/3/2019 0:00,-0.115470299,3585,-413.9610219,11472.53496,169.6433333
1/3/2019 3:00,-0.103405755,3255,-336.5857325,4994.574759,169.6766667
1/3/2019 6:00,-0.048703682,3900,-189.9443598,3375.069172,167.2966667
1/3/2019 9:00,-0.010821655,4544,-49.17360032,3044.282236,164.0166667
1/3/2019 12:00,0.00082628,5430,4.4867004,2609.970961,162.7766667
1/3/2019 15:00,-0.025854959,6059,-156.6551966,9115.094196,160.46
1/3/2019 18:00,-0.125574838,5754,-722.5576179,2736.499423,158.74
1/3/2019 21:00,-0.075377171,4614,-347.790267,6315.71954,160.75
1/4/2019 0:00,-0.06182907,3683,-227.7164648,3766.55284,159.9833333
1/4/2019 3:00,-0.101361861,3243,-328.7165152,3837.723289,160.37
1/4/2019 6:00,-0.114637435,3495,-400.6578353,5512.290006,161.5166667
1/4/2019 9:00,-0.147439428,3623,-534.1730476,3124.553159,158.5133333
1/4/2019 12:00,-0.150586291,4368,-657.7609191,8520.83585,157.7133333
1/4/2019 15:00,-0.158566256,5291,-838.9740605,7353.964238,155.42
1/4/2019 18:00,-0.111569442,4629,-516.454947,3018.080259,156.3566667
1/4/2019 21:00,-0.110829809,4161,-461.1628352,5295.400551,159.4033333
1/5/2019 0:00,-0.105646701,3393,-358.4592565,5540.134859,160.0266667
1/5/2019 3:00,-0.163479473,2741,-448.0972355,2745.217973,159.57
1/5/2019 6:00,-0.162994985,2991,-487.5180001,3599.851452,158.0366667
1/5/2019 9:00,-0.095735041,3236,-309.7985927,1021.993419,157.3266667
1/5/2019 12:00,-0.10647014,3687,-392.5554062,5260.34219,159.4
1/5/2019 15:00,-0.104451482,4370,-456.4529763,5150.149421,161.0433333
1/5/2019 18:00,-0.12272899,3861,-473.8566304,1631.402254,161.1966667
1/5/2019 21:00,-0.101250504,3396,-343.8467116,2826.259745,160.42
1/6/2019 0:00,-0.08751626,3130,-273.9258938,3567.163996,158.03
1/6/2019 3:00,-0.088628627,2732,-242.133409,1474.598363,157.8866667
1/6/2019 6:00,-0.068589452,2953,-202.5446518,1323.874079,157.6966667
1/6/2019 9:00,-0.119906421,3060,-366.9136483,1115.935341,158.4066667
1/6/2019 12:00,-0.081652606,3479,-284.0694163,1075.843623,158.7066667
1/6/2019 15:00,-0.091170636,4706,-429.049013,11077.87523,159.1033333
1/6/2019 18:00,-0.10702288,4477,-479.1414338,8722.415558,165.7333333
1/6/2019 21:00,-0.086869896,3789,-329.1500359,5538.846204,164.7633333
1/7/2019 0:00,-0.099421644,3822,-379.9895234,3178.965003,164.4433333
1/7/2019 3:00,-0.037821428,3101,-117.2842482,3071.406624,164.42
1/7/2019 6:00,-0.070956984,3304,-234.4418751,939.6437504,164.9933333
1/7/2019 9:00,-0.135447336,4287,-580.6627294,4288.037062,162.51
1/7/2019 12:00,-0.106341532,4803,-510.7583782,2081.412034,161.5866667
1/7/2019 15:00,-0.088526079,5376,-475.9162007,2855.533409,161.0566667
1/7/2019 18:00,-0.059834594,5121,-306.4129559,1614.682167,160.6633333
1/7/2019 21:00,-0.026370257,4709,-124.1775402,2984.442537,159.89
1/8/2019 0:00,-0.082874548,3807,-315.5034042,2953.888765,159.7066667
1/8/2019 3:00,-0.06187703,3241,-200.5434542,1501.540947,157.5233333
1/8/2019 6:00,-0.049030822,3730,-182.8849661,959.288845,157.79
1/8/2019 9:00,-0.07659016,4516,-345.8811626,1186.594243,158.4366667
1/8/2019 12:00,-0.032075508,5125,-164.3869785,3016.281484,160.7566667
1/8/2019 15:00,-0.030839172,5442,-167.826774,6912.890334,159.83
1/8/2019 18:00,-0.028626371,4714,-134.9447129,1449.076878,159.05
1/8/2019 21:00,-0.000909826,4305,-3.91680093,2828.424099,159.6566667
1/9/2019 0:00,-0.047393249,3534,-167.487742,3201.45362,159.5366667
1/9/2019 3:00,-0.061663362,3158,-194.7328972,1241.050871,159.6333333
1/9/2019 6:00,-0.053991266,3648,-196.9601384,1359.570757,159.34
1/9/2019 9:00,-0.154111744,3820,-588.7068621,869.8795489,158.9266667
1/9/2019 12:00,-0.15390698,4822,-742.1394576,2575.512275,158.6666667
1/9/2019 15:00,-0.065856045,5520,-363.5253684,2057.63553,156.8633333
1/9/2019 18:00,-0.096624213,5349,-516.8429153,1149.653035,157.59
1/9/2019 21:00,-0.086545764,4223,-365.4827614,1689.09328,158.7633333
1/10/2019 0:00,-0.083349556,3584,-298.7248087,4270.638401,159.6533333
1/10/2019 3:00,-0.07673087,3182,-244.1576283,4137.553413,160.6066667
1/10/2019 6:00,-0.112127305,4274,-479.2321016,20758.13128,147.9366667
1/10/2019 9:00,-0.105816969,4154,-439.5636892,11280.71176,135.73
1/10/2019 12:00,-0.123245981,5073,-625.2268616,13218.70305,137.14
1/10/2019 15:00,-0.092098975,5940,-547.0679115,19994.79471,137.3766667
1/10/2019 18:00,-0.110213186,5158,-568.4796134,11471.90956,132.7766667
1/10/2019 21:00,-0.088355012,3997,-353.154983,4558.097726,133.71
1/11/2019 0:00,-0.064001709,3462,-221.5739166,13849.98159,133.0233333
1/11/2019 3:00,-0.085752889,3038,-260.5172768,8071.954996,129.15
1/11/2019 6:00,-0.070959831,3801,-269.7183176,4035.386892,130.8166667
1/11/2019 9:00,-0.084516959,3965,-335.1097424,3132.014775,129.4633333
1/11/2019 12:00,-0.126204297,4416,-557.3181756,2727.067955,128.3866667
1/11/2019 15:00,-0.108145549,4807,-519.855654,4398.148232,129.5033333
1/11/2019 18:00,-0.134448003,4444,-597.4869253,3086.505262,130.4833333
1/11/2019 21:00,-0.152059576,3849,-585.277308,7317.308468,129.59
1/12/2019 0:00,-0.078833522,3022,-238.2349035,7688.285212,131.4666667
1/12/2019 3:00,-0.120778765,2702,-326.344223,6050.115461,135.3633333
1/12/2019 6:00,-0.10902169,2860,-311.8020334,2619.70659,133.8133333
1/12/2019 9:00,-0.047878277,2672,-127.9307561,1562.766892,133.4333333
1/12/2019 12:00,-0.101615182,3729,-378.9230137,3872.557848,133.3566667
1/12/2019 15:00,-0.146400488,3990,-584.1379471,2402.225005,133.9666667
1/12/2019 18:00,-0.079665888,3515,-280.0255963,1366.410604,133.38
1/12/2019 21:00,-0.126237507,3079,-388.6852841,3224.49817,133.6666667
1/13/2019 0:00,-0.089534454,2598,-232.6105115,3129.839561,132.5933333
1/13/2019 3:00,-0.13709178,2447,-335.4635857,1002.909176,133.6766667
1/13/2019 6:00,-0.122025837,2505,-305.6747217,531.7299056,132.64
1/13/2019 9:00,-0.116000638,2760,-320.1617609,584.220945,132.28
1/13/2019 12:00,-0.134317018,3517,-472.3929523,3751.510705,131.1266667
1/13/2019 15:00,-0.154337598,4575,-706.0945109,15006.73654,127.2866667
1/13/2019 18:00,-0.176548506,3895,-687.6564309,5017.279665,122.4533333
1/13/2019 21:00,-0.130874628,3312,-433.4567679,5967.42752,122.7833333
1/14/2019 0:00,-0.124799437,2902,-362.1679662,4180.867609,124.7366667
1/14/2019 3:00,-0.12435921,2652,-329.8006249,2749.368512,124.54
1/14/2019 6:00,-0.089387882,3383,-302.3992048,2799.770932,125.49
1/14/2019 9:00,-0.103713984,4213,-436.9470146,935.9254238,124.2333333
1/14/2019 12:00,-0.094311048,4720,-445.1481466,992.0761863,123.4433333
1/14/2019 15:00,-0.121573291,5939,-722.0237752,12017.03241,128.8
1/14/2019 18:00,-0.070989158,4834,-343.1615898,7652.543989,133.5566667
1/14/2019 21:00,-0.104177258,4428,-461.2968984,4521.687684,132.0466667
1/15/2019 0:00,-0.159266064,3635,-578.9321426,2334.02675,132.43
1/15/2019 3:00,-0.117708573,3143,-369.9580449,1769.979211,131.21
1/15/2019 6:00,-0.10602537,3507,-371.8309726,1667.709983,130.8366667
1/15/2019 9:00,-0.204672027,3959,-810.2965549,2406.007287,130.2666667
1/15/2019 12:00,-0.150426576,4449,-669.2478366,2833.955536,130.5266667
1/15/2019 15:00,-0.157840406,5215,-823.1377173,6866.005675,129.9066667
