time,sentiment_score,Tweet Volume,Weighted Sentiment,Volume XLM,open XLM
3/14/2019 15:00,-0.147063968,5236,-770.0269364,262974,0.107498
3/14/2019 18:00,-0.134591752,4619,-621.6793025,1102869,0.106645333
3/14/2019 21:00,-0.188029656,4118,-774.3061234,900613,0.106693667
3/15/2019 0:00,-0.152570884,3480,-530.9466763,673400,0.106273667
3/15/2019 3:00,-0.1371428,2921,-400.5941188,806540,0.105653667
3/15/2019 6:00,-0.16137622,3492,-563.5257602,497312,0.103376
3/15/2019 9:00,-0.120849275,4039,-488.1102217,345426,0.104671667
3/15/2019 12:00,-0.126266603,4936,-623.2519524,745494,0.105030333
3/15/2019 15:00,-0.17517701,5322,-932.2920472,774720,0.106307
3/15/2019 18:00,-0.20009712,4914,-983.2772477,262537,0.105934667
3/15/2019 21:00,-0.19231964,3642,-700.4281289,102413,0.105789
3/16/2019 0:00,-0.171957707,3555,-611.3096484,660326,0.106409333
3/16/2019 3:00,-0.103864481,3091,-321.0451108,1342538,0.107515
3/16/2019 6:00,-0.158555209,3357,-532.2698366,600712,0.108944667
3/16/2019 9:00,-0.106926542,3186,-340.6679628,255285,0.109179333
3/16/2019 12:00,-0.126124626,4016,-506.516498,856585,0.108528333
3/16/2019 15:00,-0.124039939,4095,-507.9435502,256013,0.107523333
3/16/2019 18:00,-0.100655816,3611,-363.4681516,248413,0.107965
3/16/2019 21:00,-0.150924015,3097,-467.4116745,273097,0.10823
3/17/2019 0:00,-0.093837131,2701,-253.4540908,248454,0.107485333
3/17/2019 3:00,-0.166634166,2393,-398.7555592,145169,0.106456667
3/17/2019 6:00,-0.167786489,2536,-425.5065361,78115,0.106693
3/17/2019 9:00,-0.115418911,2796,-322.7112752,15198,0.107298667
3/17/2019 12:00,-0.109445723,3630,-397.2879745,434905,0.107119333
3/17/2019 15:00,-0.124590818,3838,-478.1795595,233556,0.107675
3/17/2019 18:00,-0.116078253,3490,-405.113103,125441,0.107985333
3/17/2019 21:00,-0.1512816,3164,-478.6549824,140287,0.108206667
3/18/2019 0:00,-0.137857986,3167,-436.5962417,1335203,0.109518
3/18/2019 3:00,-0.138020434,2623,-362.0275984,668748,0.109948
